分類,問い,回答
不動産登記: 申請: 申請手続,相続登記の申請に当たっては遺産分割協議書を提出しないといけないと聞いていますが、作り方が分かりません。,"遺産分割協議書のサンプルはこちら<法務省民事局PDF（７ページ）,https://houmukyoku.moj.go.jp/homu/content/001388912.pdf>を御確認願います。
また、登記手続案内を御利用いただければ、遺産分割協議書に記載しておくべき事項など、登記申請をするに当たって必要な情報を提供いたします。
ただし、誰にどのように遺産を相続させるかなど、これから行う遺産分割協議の内容に関することについては、相続人の皆さまで御判断いただく内容であり、登記手続案内において御説明することはできません。
なお、遺産分割の内容等については、弁護士等の専門家に御相談願います。"EOL
不動産登記: 申請: 申請手続,「印鑑証明書」はどのような申請に必要なのですか。,"土地や建物の売買による所有権の移転の登記を書面で申請する場合は、その登記の申請が売主の真意によるものであって、虚偽の申請ではないことを証明するために、申請書に売主の印鑑証明書を添付することとされています。
また、土地の合筆の登記を申請する場合も、申請書に所有権の登記名義人（所有者）の印鑑証明書を添付することとされています。
登記申請書に添付する印鑑証明書は、いずれも作成後３か月以内のものでなければなりません。"EOL
不動産登記: 申請: 申請手続,「印鑑証明書」の印は申請書のどこに押印するのですか。,申請人本人が申請する場合は、申請人の住所 氏名を記載した下に押印します。また、代理人によって申請する場合は、委任状に押印します。EOL
不動産登記: 申請: 申請手続,なぜ「印鑑証明書」を申請書に添付しなければならないのですか。,印鑑証明書は、(1)申請人が本人であること、(2)登記を申請する意思があること、(3)申請書等に押印された印が真正な印であることを、登記官が確認するために添付するもので、虚偽の登記を防止することが主な目的です。EOL
不動産登記: 申請: 申請手続,「住所証明情報」とは、どのようなものですか。,"土地や建物の売買による所有権の移転の登記をする場合は、売主から買主へ所有権が移転した旨が登記されることになりますが、登記記録に新たに買主の住所及び氏名又は名称を記録するために、買主の「住所を証する情報」を提供することとされています。また、相続の登記の申請をする場合は、申請書に不動産を取得することとなる相続人の「住所を証する情報」を提供することとされています。
これらを住所証明情報といい、具体的には、住民票や戸籍附票の写し、法人の場合は登記事項証明書などが該当します。"EOL
不動産登記: 申請: 申請手続,登記申請の際に必要とされる「登記原因証明情報」とは、どのようなものですか。,"「登記原因証明情報」とは、登記の原因となった事実又は法律行為とこれに基づき現に権利変動が生じたことを証する情報のことをいいます。共同申請の場合には、（電子）契約書等のほか、登記原因について記載又は記録された内容を、その登記によって不利益を受ける者（登記義務者）が確認し、署名若しくは押印した書面又は電子署名を行った情報が含まれます。
したがって、売買契約書（所有権の移転時期の特約があるときは、その条件成就の事実を証する情報も併せて必要となります）のほか、売買契約書の写しに売主が記名押印したものでもよいとされています。
売買による所有権の移転の登記の申請をする場合に、売買契約書がないときは、契約の当事者、日時、対象物件のほか、売買契約の存在とその売買契約に基づき所有権が移転したことを売主が確認した書面又は情報が登記原因証明情報に該当します。したがって、登記原因を記載した報告書に売主（登記義務者）が記名押印したものもこれに含まれます。
なお、いわゆる売渡証書であっても、登記義務者が署名しているものは、それが売買契約とこれに基づく所有権の移転を内容としているものである限り、登記原因証明情報に該当します。"EOL
不動産登記: 申請: 申請手続,不動産登記の申請を代理人で行う際必要となる「代理権限証明情報」とは、どのようなものですか。,"登記の申請は、必ず本人が申請しなければならないものではなく、代理人が本人に代わって申請することができます。ただし、代理人によって登記の申請をする場合には、申請情報と共に代理人の権限を証明する情報を提供する必要があります。このような情報を「代理権限証明情報」といいます。
司法書士や土地家屋調査士などに登記の申請を委任した場合の委任状や、申請人が未成年者である場合に法定代理人が登記の申請を行う場合の戸籍の全部事項証明書等が「代理権限証明情報」となります。
なお、「代理権限証明情報」は、作成後3か月以内のものを提出しなければなりません。"EOL
不動産登記: 申請: 申請手続,法人が不動産登記の申請人である場合に必要となる「資格証明情報」とは、どのようなものですか。,"申請人が会社などの法人である場合には、法人の代表者の資格を証明する情報を提供する必要があります。このような情報を「資格証明情報」といいます。具体的には、会社の登記事項証明情報が、「資格証明情報」となります。
なお、「資格証明情報」は、作成後3か月以内のものを提出しなければなりません。"EOL
不動産登記: 申請: 申請手続,登記の申請を行う場合の委任状には、決まった書式がありますか。,"委任状の書式には、特に決められたものはありませんが、最低限必要な記載事項は次のとおりです。
(1) 委任者
(2) 受任者
(3) 委任内容（登記の申請を委任することなどです。）
(4) 不動産の表示（どの不動産について登記の申請をするかです。）
(5) 委任日"EOL
不動産登記: 申請: 申請手続,不動産登記の申請書等は何年間保存しているのですか。,"土地や建物の登記記録（登記簿）や登記の申請書の保存期間は、不動産登記法（以下「法」といいます。）に基づく法令の規定で決められています。
ここでは、代表的な登記記録（登記簿）や登記申請書の保存期間を簡単に御紹介します。

1. 永久保存
(1) 登記記録（登記簿）
(2) 地図（法第14条第1項）
(3) 地図に準ずる図面（法第14条第4項）
(4) 土地所在図及び地積測量図
(5) 建物図面及び各階平面図
(6) その他信託目録、共同担保目録、工場財団目録、地役権図面など
2. 50年間保存
閉鎖した土地の登記記録（登記用紙）
3. 30年間保存
(1) 閉鎖した建物の登記記録（登記用紙）
(2) 表示に関する登記の申請情報とその添付情報
(3) 権利に関する登記の申請情報とその添付情報
(4) 滅失した建物の建物図面及び各階平面図
(5) 閉鎖された地役権図面
4. 20年間保存
(1) 抹消された信託登記の信託目録
(2) 閉鎖された工場財団登記の工場財団目録
5. 10年間保存
共同担保目録に記録されているすべての事項が抹消された共同担保目"EOL
不動産登記: 申請: 申請手続,"不動産登記の申請をしたところ、登記所から「補正が必要なので来庁してください」との連絡がありました。どうしたらよいのですか。
また、「補正」と「取下げ」の違いやそれぞれの方法について教えてください。","1. 「補正」と「取下げ」について
登記所の登記官は、登記の申請書を受け付けたときは、必要な事項を調査して、申請に応じた登記をするのか、あるいは申請を却下するのかを決定します。
原則的に、申請書の記載に誤りがある場合は、登記をすることができませんが、その誤りが即日訂正できるような軽微な物である場合などには、申請人が誤りを訂正すれば、最初から適正な申請があったものとして登記をすることができます。このように、申請人が、申請書の軽微な誤りを訂正することを、「補正」といいます。
また、申請書の記載に重大な誤りがあって、すぐに補正できないような場合は、申請人は登記の申請を取り下げることができます。この場合は、登記の申請は初めから無かったことになります。このような手続を「取下げ」といいます。

2. 補正の方法について
申請書を補正する場合は、登記所に赴いて、担当官の指示に従って申請書の記載を訂正してください。訂正印は、申請書に押印した印鑑と同じ印をしようしなければなりませんので、御注意ください。

3. 取下の方法について
登記の申請を取り下げる場合は、「取下書」に必要な事項を記載しなければなりません。申請書に押印した印鑑と同じ印が必要になりますので御注意ください。
取下書の記載方法等については、法務局又は地方法務局の職員にお尋ねください。
また、納付した登録免許税は、現金還付や印紙の再使用証明など、申請人が選択した方法で還付されますので、どの方法を希望するか、登記所の職員に申し出てください。"EOL
不動産登記: 申請: 申請手続,登録免許税の計算方法と具体的に納めるべき金額について教えてもらえますか。また、租税特別措置により登録免許税が軽減される場合があると聞いたのですが、どのようにしたら軽減されるのですか。,"登録免許税額は、登録免許税法等の税法の規定に基づいて計算する必要がありますが、申請しようとする登記の種類に応じて税率等が異なります。
また、所有権の移転の登記等における課税価格（課税標準。登録免許税を計算するための基礎となる不動産の価額）は、基本的には、固定資産課税台帳に登録された価格となりますが、公衆用道路等の非課税地や固定資産課税台帳に登録されていない不動産については、登録免許税法において登記機関が認定することとされていますので、その不動産を管轄する法務局にお尋ね願います。
租税特別措置による登録免許税が軽減又は免除される場合には、租税特別措置法に規定する証明書を添付していただくことが基本となりますが、数次相続における中間の相続登記の免税など証明書の添付が不要なものもあります 。
一般的な租税特別措置による登録免許税の軽減又は免除については、<法務局ウェブサイト「令和5年4月1日以降の登録免許税に関するお知らせ」,
https://houmukyoku.moj.go.jp/homu/page7_000025_00004.html>・
<法務局ウェブサイト「相続登記の登録免許税の免税措置について」,
https://houmukyoku.moj.go.jp/homu/page7_000017.html>
を御確認ください。
登録免許税に租税特別措置の適用があるかどうかは、それぞれの制度を所管する行政機関に確認していただく必要がありますが、どの行政機関に確認する必要があるかなど御不明な点がありましたら、不動産を管轄する<法務局ウェブサイト,https://houmukyoku.moj.go.jp/homu/static/kankatsu_index.html>にお尋ね願います。"EOL
不動産登記: 申請: 申請手続,登録免許税の納付方法を教えてください。,"不動産登記に必要な登録免許税の納付の方法は、現金納付、電子納付、収入印紙による納付の3方法があります。
現金納付の場合にはあらかじめ日本銀行（国税の収納を行う代理店を含む。）又は税務署に登録免許税に相当する額を納付して、その納付に係る領収書を登記所に提出する必要があります。
オンライン申請をする場合には、インターネットバンキングやＡＴＭ（ペイジー）から電子納付をすることができます。電子納付については、登記・供託オンライン申請システム「電子納付による手数料等のお支払いについて」を御確認願います。
登録免許税の額が30,000円以下であるなどの場合には、その登録免許税の額に相当する金額の収入印紙を当該登記の申請書に貼り付けて登記所に提出することも認められています。収入印紙で納付される場合には、台紙に貼り付けて提出していただくこととなりますが、法務局において収入印紙を確認した後に消印処理を施しますので、申請人において収入印紙に割印をしないようお願いします。
登録免許税の納付方法の詳細については、最寄りの法務局又は地方法務局にお尋ねください。"EOL
不動産登記: 申請: 申請手続,土地・建物の名義を子の名義に書き換えることで、どれくらい税金（贈与税や相続税）がかかりますか。,"贈与税や相続税については、法務局では取り扱っておりませんので、税務署に御相談願います。
また、これ以外にも、例えば、固定資産税、不動産取得税、法人税などの税についても、法務局では取り扱っていませんので、それぞれの税を徴収している行政機関（税務署、都道府県、市町村など）に御相談願います。"EOL
不動産登記: 申請: 権利証,登記済証（権利証）とは、どのようなものですか。また、廃止されたのですか。,登記済証（権利証）は、登記が完了した際に登記所から登記名義人に交付する書面で、登記名義人本人であることを証明する登記手続固有の本人確認書類でしたが、平成17年3月に不動産登記法が改正され、本人確認は登記識別情報によることとされ、登記済証（権利証）は廃止されました。EOL
不動産登記: 申請: 権利証,現在、登記名義人が持っている登記済証（権利証）はどうなるのですか。登記識別情報の制度が導入された現在において、登記の申請に用いることはできないのでしょうか。,現在でも、登記済証（権利証）は、書面申請において、添付書面として利用することができます。EOL
不動産登記: 申請: 権利証,登記済証（権利証）を紛失したのですが、どうしたらよいのですか。,"1. 権利証の不正使用について
紛失した権利証を誰かが悪用し、勝手に所有権の移転の登記や抵当権の設定の登記をしてしまうのではないかということが考えられますが、このような登記の申請には、登記済証（権利証）のほかに、印鑑証明書等の添付情報が必要となりますので、実印や印鑑証明書の管理をしっかり行っていれば、勝手に登記されるということはありません。また、登記済証（権利証）を紛失しただけでは、登記記録上の権利には何らの影響もありません。
登記名義人ではない者が、他人の登記済証（権利証）を用いて不正な登記を行うことは、一般的には容易なことではなく、仮に、登記名義人でない者が他人になりすまして不正な登記をしたとしても、その登記は無効であり、その行為は犯罪となります。

2. 不正登記防止申出の制度について
登記済証（権利証）を取得した者が、登記名義人になりすまして不正な登記を行う可能性がまったくないとは言い切れませんし、不正な登記がされた場合には、登記名義人が思わぬ損害を被るおそれも否定できません。
このような場合に、登記名義人の権利を防衛するため、不正登記防止申出の制度があります。不正登記防止申出の制度は、不正な登記がされる差し迫った危険がある場合に、申出から3か月以内に不正な登記がされることを防止するための制度であり、権利の移動を禁止する趣旨の制度ではありません。
紛失した権利証を不正な登記（犯罪）に利用される差し迫った危険があるというような、具体的な不安がある場合には、3か月ごとに不正登記防止申出の手続をしていただくことになります。
なお、不正登記防止申出の手続は、申出人本人の出頭を原則としていますが、本人が登記所に出頭できない止むを得ない事情があると認められる場合には、委任による代理人が登記所に出頭してすることもできますので、申出先の登記所に御相談ください。

3. 登記制度における代替措置
登記済証（権利証）は、当該不動産に関する所有権の移転の登記などに使用することになりますが、登記済証（権利証）を提供することができない正当な理由があるときは、登記済証（権利証）を提供することなく他の方法により申請ができることとされています。具体的には、登記済証（権利証）による本人確認に代えて、登記所から登記名義人あてに、「事前通知」（不動産登記法第23条第1項）により本人であることの確認をさせていただきます。この「事前通知」とは、登記済証（権利証）を提供すべき登記名義人の住所地にあてて、本人限定受取郵便により、登記の申請があった旨、及びその申請の内容が真実であるときは2週間以内にその旨の申出をすべき旨の通知をし、この通知に対して、2週間以内に申請に間違いがない旨の申出がされることをもって、本人からの申請であることを確認するというものです。
また、登記の申請を司法書士等の資格者に委任して行う場合には、「事前通知」の方法によらずに司法書士等の資格者が本人であることを確認した旨の書類（「本人確認情報」）を提供していただく方法や公証人に同様の書類を作成してもらい、提供していただく方法もあります（不動産登記法第23条第4項）（なお、事前通知の方法では手数料はかかりませんが、司法書士等に「本人確認情報」を作成してもらう場合には、そのための手数料がかかる場合もありますので、利用される場合は、あらかじめ御確認ください。）"EOL
不動産登記: 登記識別情報: ,登記識別情報とは、何ですか。,"登記識別情報とは、登記の申請がされた場合に、当該登記により登記名義人となる申請人に、その登記に係る物件及び登記の内容とともに、登記所から通知される情報をいいます。登記識別情報は、アラビア数字その他の符号の組合せからなる12桁の符号で、不動産及び登記名義人となった申請人ごとに定められます。
この登記識別情報は、本人確認手段の一つであり、登記名義人本人による申請であることを登記官が確認するため、登記所に提供してもらうことになります。"EOL
不動産登記: 登記識別情報: ,登記識別情報は、どのような場合に必要になるのですか。,"登記権利者及び登記義務者が共同して所有権の移転の登記など、権利に関する登記を申請する場合に、原則として、登記義務者の登記識別情報が必要となります。
また、これ以外の場合であっても、所有権の登記がある土地の合筆の登記、所有権の登記のある建物の合併の登記、仮登記の登記名義人の単独で申請する仮登記の抹消を申請する場合などにも必要となります。"EOL
不動産登記: 登記識別情報: ,登記識別情報は、どのようにして通知されるのですか。,登記所から登記識別情報を通知する場合には、秘密を保持するため、次の方法により通知されます。書面申請の場合は、通知書の登記識別情報を記載した部分を覆う目隠しシール（張り直すことができないもの）を貼り付け、登記所の窓口において、本人を確認した上で交付する方法で通知することになります。オンライン申請の場合は、申請人が申請時にあらかじめ送信した専用の公開鍵を用いて登記識別情報を暗号化し、これを申請人がダウンロードする方法により通知することになります。EOL
不動産登記: 登記識別情報: ,登記識別情報については、確率的に、でたらめに入力したものが正しいものと偶然に符合してしまう可能性はないのですか。,"登記識別情報は、アラビア数字その他の符号の組合せによる12桁の符号ですので、現実的には、正しい登記識別情報に符合することはあり得ないと考えられます。
また、登記申請の際、誤った登記識別情報の入力が繰り返されたときは、申請人以外の者が申請していると疑うに足りる相当な事情がある場合に該当するものとして、登記官が申請人やその代理人を呼び出す等して、本人確認をすることがあります。"EOL
不動産登記: 登記識別情報: ,登記申請の際に、登記識別情報はどのような方法で登記所に提出するのですか。,"登記識別情報は、権利の一部の移転や担保物権の設定の登記等において、繰り返し本人確認手段として利用することが予定されています。そのため、登記所に提供する際にも、秘密性を保持する必要があります。
そこで、オンライン申請の場合には、登記識別情報を登記所の公開鍵を用いて暗号化して送信することになります。
また、書面申請の場合には、盗み見られることがないよう登記識別情報を記載した書面を封筒に入れる等して提出することになります。"EOL
不動産登記: 登記識別情報: ,登記識別情報に関する有効証明制度とは、どのような制度ですか。,登記識別情報は、登記申請に必要な添付情報ですので、登記申請の手続を円滑に行うために、登記名義人が登記識別情報の効力をあらかじめ確認しておく必要がある場合があります。その場合には、登記名義人又はその相続人その他の一般承継人は、登記官に対し、手数料を納付して、登記識別情報が有効であることの証明を請求することができます。この証明により、登記申請の前に有効な登記識別情報を有していることを証明することができます。EOL
不動産登記: 登記識別情報: ,登記識別情報は、どのようにして管理すればよいのですか。,"登記識別情報は、本人だけが知っている情報であることが前提となるものです。したがって、登記識別情報の管理については、第三者に盗み見られないような方法で管理する必要があります。書面で交付する登記識別情報通知書については、登記識別情報を記載した部分を覆う目隠しシールをはり付けて、第三者に盗み見られないような工夫がされています。この目隠しシールをはがした場合には、通知書を封書等で封印した上で、金庫等に保管することが望ましいでしょう。
また、オンラインで送信された登記識別情報は、復号化しないまま電子媒体等に保管し、復号ソフトとともに適切に管理することも考えられます。ただし、媒体は経年劣化のおそれがあるので、定期的な格納媒体の更新が必要になります。その他、復号化した登記識別情報を書面に印刷し、これを封筒等に封印して金庫等に保管する方法が考えられます。"EOL
不動産登記: 登記識別情報: ,登記識別情報を紛失したり、盗まれた場合、どうすればよいですか。再通知されるのですか。,"1. 登記識別情報の不正使用について
登記識別情報を紛失した場合や、他人に盗み見られるなどした場合に、登記名義人の登記識別情報を入手した他人がこれを悪用し、勝手に所有権の移転の登記や抵当権の設定の登記をしてしまうのではないかということが考えられますが、このような登記の申請には、登記識別情報のほかに、印鑑証明書等の添付情報が必要となりますので、実印や印鑑証明書の管理をしっかり行っていれば、勝手に登記されるということはありません。また、登記識別情報を紛失しただけでは、登記記録上の権利には何らの影響もありません。
登記名義人ではない者が、他人の登記識別情報を用いて不正な登記を行うことは、一般的には容易なことではなく、仮に、登記名義人でない者が他人になりすまして不正な登記をしたとしても、その登記は無効であり、その行為は犯罪となります。

2. 不正登記防止申出の制度について
登記識別情報を取得した者が、登記名義人になりすまして不正な登記を行う可能性がまったくないとは言い切れませんし、不正な登記がされた場合には、登記名義人が思わぬ損害を被るおそれも否定できません。
このような場合に、登記名義人の権利を防衛するため、不正登記防止申出の制度があります。不正登記防止申出の制度は、不正な登記がされる差し迫った危険がある場合に、申出から3か月以内に不正な登記がされることを防止するための制度であり、権利の移動を禁止する趣旨の制度ではありません。
紛失した権利証を不正な登記（犯罪）に利用される差し迫った危険があるというような、具体的な不安がある場合には、3か月ごとに不正登記防止申出の手続をしていただくことになります。
なお、不正登記防止申出の手続は、申出人本人の出頭を原則としていますが、本人が登記所に出頭できない止むを得ない事情があると認められる場合には、委任による代理人が登記所に出頭してすることもできますので、申出先の登記所に御相談ください。

3. 登記識別情報の失効の申出の制度について
登記識別情報は、次の登記をする際の申請人を確認するための資料として利用されるものですが、次の4.に示すとおり、その代替手段が用意されています。
したがいまして、登記識別情報を紛失し、これが誰かに盗み見られた可能性がある場合などには、登記名義人又はその相続人その他の一般承継人の申出により、登記識別情報を失効させる制度が設けられています（不動産登記規則第65条）ので、必要があれば、この制度を御利用ください。

4. 登記制度における代替措置
登記識別情報は、当該不動産に関する所有権の移転の登記などに使用することになりますが、登記識別情報を提供することができない正当な理由があるときは、登記識別情報を提供することなく他の方法により申請ができることとされています。具体的には、登記識別情報による本人確認に代えて、登記所から登記名義人あてに、「事前通知」（不動産登記法第23条第1項）により本人であることの確認をさせていただきます。この「事前通知」とは、登記識別情報を提供すべき登記名義人の住所地にあてて、本人限定受取郵便により、登記の申請があった旨、及びその申請の内容が真実であるときは2週間以内にその旨の申出をすべき旨の通知をし、この通知に対して、2週間以内に申請に間違いがない旨の申出がされることをもって、本人からの申請であることを確認するというものです。
また、登記の申請を司法書士等の資格者に委任して行う場合には、「事前通知」の方法によらずに司法書士等の資格者が本人であることを確認した旨の書類（「本人確認情報」）を提供していただく方法や公証人に同様の書類を作成してもらい、提供していただく方法もあります（不動産登記法第23条第4項）（なお、事前通知の方法では手数料はかかりませんが、司法書士等に「本人確認情報」を作成してもらう場合には、そのための手数料がかかる場合もありますので、利用される場合は、あらかじめ御確認ください。）

5. 再通知について
なお、登記識別情報は、登記完了時に通知するものとされているため、その再通知は、認められません。"EOL
不動産登記: 登記識別情報: ,資格者代理人による本人確認情報の提供の制度とは、どのようなものですか。,登記識別情報を登記所に提供することができない場合に、資格者代理人が適切な本人確認情報を提供し、登記官が提供された情報の内容を適正なものと認めたときは、事前通知の手続を省略することができるというものです。EOL
不動産登記: 登記情報等の確認: ,現在、登記（地目や所有者等）がどのような内容になっているのか分かりません。登記手続案内で登記されている内容を教えてもらえますか。,"登記されている内容を確認したい場合には、登記事項証明書又は登記事項要約書を取得願います（登記手続案内の場で担当者が登記されている内容を確認することはできません。）。
なお、登記事項証明書は、法務局の窓口で請求することもできますが、あらかじめ、オンライン請求で取得する方が手数料がお得になります。詳しくは、<法務局ウェブサイト「登記事項証明書等の請求にはオンラインでの手続が便利です」,
https://houmukyoku.moj.go.jp/homu/static/online_syoumei_annai.html>を御確認願います。"EOL
不動産登記: 登記情報等の確認: ,土地・建物の売買契約の内容に疑問があるのですが、法務局で問題がないかを確認してもらえますか。,"売買契約の内容について、例えば、登記されている所有者の住所と契約書上の売主の住所が異なっているなど登記手続にも関係するものについては、法務局においても持参された資料等から確認できる範囲で確認しますが、契約金額が妥当であったかなど登記手続に直接関与しないものについては、法務局が確認することはできませんので、弁護士等の専門家に相談されることをお勧めしています。
なお、法務局の登記手続案内では、有効に成立した契約関係を前提として、登記申請書の作成等に必要な情報の提供を行っています。"EOL
不動産登記: 登記情報等の確認: ,インターネットで登記情報を確認する方法はありますか。,"1. 登記情報提供サービスとは
登記所が保有する登記情報を、インターネットを利用して、一般利用者が自宅又は事務所のパソコンで確認することができるサービス（「登記情報提供サービス」といいます。）を提供しています。
以前は、登記情報を確認するためには、登記所まで出向いて登記事項証明書又は登記事項要約書を請求するか、オンライン又は郵送により登記事項証明書の送付を請求する必要がありましたが、登記情報提供サービスを利用することにより、インターネットを利用して自宅や会社に居ながらして登記情報を確認することができることから、登記情報を確認するための時間と手間が大幅に縮減されます。

2. 提供される情報
ア 提供される登記情報の種類は、次のとおりです。
(ア) 次に掲げる登記簿等でコンピュータ化されたものに記録された事項の全部についての情報
a 不動産の登記簿　b 商業登記簿　c 法人の登記簿　d 動産譲渡登記事項概要ファイル　e 債権譲渡登記事項概要ファイル
f 地図、地図に準ずる図面、土地所在図、地積測量図、地役権図面、建物図面及び各階平面図が記録されたファイル
(イ) (ア)の登記簿等に記録されている事項の一部についての情報
a 不動産の登記簿に記録された事項の全部から次に掲げるもののいずれか又は全てを除いた情報
(a) 共同担保目録の全部又は現在効力を有していないもの
(b) 信託目録の全部又は現在効力を有していないもの
b 当該不動産の所有者の氏名又は名称及び住所又は事務所のみに関する情報（所有者事項）
c 会社、法人等についての登記記録に係る情報量が3メガバイトを超える場合において、一部の区に記録されている事項についての情報
イ アの登記情報であっても、次に該当するものについては、提供することができません。
(ア) 不動産の登記簿に記録されている登記情報のうち、請求に係る情報量が1メガバイトを超えるもの
(イ) 商業登記簿、法人の登記簿、動産譲渡登記事項概要ファイル及び債権情報登記事項概要ファイルに記録されている登記情報のうち、請求に係る情報量が3メガバイトを超えるもの
(ウ) 商業登記簿及び法人の登記簿に記録されている登記記録のうち、登記事項が閉鎖されているもの（例外があります。）
(エ) 地図、地図に準ずる図面、土地所在図、地積測量図、地役権図面、建物図面及び各階平面図が記録されたファイルに記録されている情報のうち、請求に係る情報量が3メガバイトを超えているもの及び閉鎖されたもの

3. 利用の方法・手順
あらかじめ利用者登録（登記情報提供契約の締結）をして利用する方法と、利用者登録をすることなく、一時的に利用する方法があります。
詳しくは、登記情報提供サービスのウェブサイトを御覧ください。

4. 利用時間
（登記情報）→（利用時間）
・登記記録の全部の情報（不動産、商業・法人）　　　　→　　　平日　午前8時30分から午後11時まで　　　土日祝日　午前8時30分から午後6時まで
・所在者不明事項の情報（不動産）　　　　　　　　　　　 →　　　同上
・登記事項概要ファイルの情報（動産譲渡、債権譲渡）　 →　　　同上
・地図及び図面が記録されたファイルの情報　　 →　　　平日　午前8時30分から午後9時まで
※　なお、以下に以下に該当する場合は、御利用になれません。
(1) 登記情報提供サービスを利用できない日としてあらかじめ<登記情報提供サービスのウェブサイト,https://www1.touki.or.jp/>に掲載する日
(2) 年末年始（12月29日から1月3日まで）

5. 利用料金等
(1) 利用料金
ア　不動産の所有者の氏名又は名称及び住所又は事務所のみに関する情報（所有者情報）：1件につき142円（登記手数料130円＋指定法人手数料12円（消費税及び地方消費税を含む。））
イ　動産譲渡登記事項概要ファイル又は債権譲渡登記事項概要ファイルに記録されている登記
情報：1件につき142円（登記手数料130円＋指定法人手数料12円（消費税及び地方消費税を含む。））
ウ　地図、地図に準ずる図面、土地所在図、地積測量図、地役権図面、建物図面及び各階平面図
が記録されたファイルに記録されている情報：１件につき362円（登記手数料350円＋指定法人手数料12円（消費税及び地方消費税を含む。））
エ　アからウまで以外の物件：1件（1物件・1会社）につき332円（登記手数料320円＋指定法人手数料12円（消費税及び地方消費税を含む。）
(2) 登録費用（消費税及び地方消費税を含む。）
ア　個人が登録する場合：300円　　
イ　法人が登録する場合：740円　　
ウ　国又は地方公共団体が登録する場合：560円
(3) 決済方法
ア　個人の場合：クレジットカードによる決済 　　
イ　法人の場合：銀行預金口座からの引き落とし　
ウ　国又は地方公共団体の場合：協会の指定口座への銀行振込

６ その他
その他詳細については、下記にお問い合わせください。
<一般財団法人民事法務協会登記情報提供センターウェブサイト,https://www1.touki.or.jp>　電話 0570-020-220"EOL
不動産登記: 登記情報等の確認: ,登記事項証明書と登記簿謄抄本とは、どう違うのですか。,"1. 登記所は、磁気ディスクに登記記録を登録し、コンピュータ・システムにより登記事務を行っていますが、このコンピュータシステムを利用して登記記録に記録されている事項の全部又は一部を証明したものが、登記事項証明書です。
一方、コンピュータシステムで取り扱うことができない登記記録については、従前と同様に「紙」の登記簿を使用していますが、登記簿の全部を複写して証明したものが登記簿謄本であり、一部を複写して証明したものが登記簿抄本です。
これらの登記事項証明書と登記簿謄抄本は、作成の方法は重なりますが、登記されている事項を公示するという同じ効力を持つものです。

2. 登記記録は、1筆（1区画）の土地又は1個の建物ごとに表題部と権利部に区分して作成されています。さらに、権利部は甲区と乙区に区分され、甲区には所有権に関する登記事項が、乙区には所有権以外の権利に関する登記事項がそれぞれ記録されています。
(1) 表題部の記録事項
土地・・・所在、地番、地目（土地の現況）、地積（土地の面積）など
建物・・・所在、家屋番号、種類、構造、床面積など
（表題部にする登記を「表示に関する登記」といいます。）
マンションなどの区分建物については、その建物の敷地に関する権利（敷地権）が記録される場合があります。この敷地権についての権利関係は、区分建物の甲区、乙区の登記によって公示されます。
(2) 権利部（甲区）の記録事項
所有者に関する事項が記録されています。所有者は誰で、いつ、どんな原因（売買、相続など）で所有権を取得したかが分かります（所有権の移転の登記、所有権に関する仮登記、差押え、仮処分など）。
(3) 権利部（乙区）の記録事項
抵当権など所有権以外の権利に関する事項が記録されています（抵当権設定、地上権設定、地役権設定の登記など）。"EOL
不動産登記: 登記情報等の確認: ,不動産登記の手数料はどのようになっていますか。また、登録免許税との違いを教えてほしい。,"不動産登記、商業・法人登記における主な登記手数料については、<法務省ウェブサイト,http://www.moj.go.jp/MINJI/TESURYO/index.html>を御確認ください。
なお、手数料は、登記事項証明書の交付請求などの登記情報を取得する際に必要となる費用であり、登録免許税は、登記簿に一定の事項を記録するための登記申請の際に必要となる費用です。"EOL
